RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
7	8	0	0.220858	0.920619	0.239901	0	0.225465	0.571097	0.394792
7	9	0	0.0150957	0.840154	0.0179677	0	-0.437116	0.687579	-0.635731
8	0	0	0.0626375	1.00179	0.0625255	0	0.113178	1.00179	0.112975
8	1	0	0.545824	1.02475	0.532644	0	0.567104	0.817524	0.693685
8	2	0	0.332427	0.971149	0.342303	0	0.419904	1.02516	0.409599
8	3	0	-0.0899703	1.06923	-0.0841451	0	0.246502	0.882555	0.279305
8	4	0	0.51815	1.00108	0.517588	0	0.698556	1.14649	0.609299
8	5	0	0.211912	0.984242	0.215305	0	0.016221	0.726634	0.0223235
8	6	0	0.663522	1.03067	0.64378	0	0.484373	1.14239	0.424002
8	7	0	0.140351	1.08941	0.128832	0	0.554404	1.15052	0.481872
8	8	0	0.30354	1.04811	0.289606	0	0.0299222	1.02096	0.0293079
8	9	0	0.342755	1.38707	0.247108	0	0.726227	1.47839	0.491228
9	0	0	0.24554	0.713754	0.344012	0	0.25653	0.713754	0.359409
9	1	0	0.296717	0.90218	0.328889	0	0.331527	0.844043	0.392784
9	2	0	0.554321	0.976248	0.567807	0	0.749282	1.21064	0.618915
9	3	0	1.13152	1.1625	0.973352	0	0.644548	0.817729	0.788218
9	4	0	-0.124711	0.96784	-0.128855	0	-0.065475	0.851525	-0.0768914
9	5	0	0.645239	0.921423	0.700264	0	0.0712098	0.831948	0.085594
9	6	0	-0.56515	1.17202	-0.482201	0	0.275146	0.56352	0.488263
9	7	0	0.367424	0.954939	0.384762	0	-0.221027	1.11099	-0.198946
9	8	0	0.772641	0.8465	0.912747	0	0.431952	0.780877	0.553163
9	9	0	1.10409	1.23761	0.892116	0	0.983631	1.54776	0.635519
10	0	0	0.0271015	1.00827	0.0268793	0	0.148754	1.00827	0.147535
10	1	0	0.628597	0.918981	0.684016	0	0.400947	0.835976	0.479615
10	2	0	0.343759	0.985873	0.348684	0	0.453082	0.954485	0.474688
10	3	0	0.392578	0.920274	0.426588	0	0.368093	0.694347	0.530128
10	4	0	0.228392	1.14051	0.200254	0	0.000763752	1.07905	0.000707798
10	5	0	-0.13812	0.966363	-0.142928	0	0.54643	0.717011	0.762094
10	6	0	0.177744	0.758966	0.234192	0	0.174954	0.964235	0.181443
10	7	0	0.717931	1.51988	0.47236	0	-0.174954	1.29238	-0.135374
10	8	0	0.848811	1.34143	0.632767	0	0.42498	0.948165	0.448213
10	9	0	0.0530602	1.05521	0.0502839	0	0.152903	1.42271	0.107474
11	0	0	0.159326	0.915513	0.174029	0	0.161532	0.915513	0.176439
11	1	0	0.601459	0.971836	0.618889	0	0.570588	0.890763	0.64056
11	2	0	0.22697	0.985645	0.230275	0	0.569341	0.797334	0.714055
11	3	0	0.319411	1.0952	0.291647	0	0.265369	1.44971	0.183049
11	4	0	0.729704	0.945549	0.771725	0	0.519839	0.953391	0.545252
11	5	0	0.0994138	1.00505	0.098914	0	0.283321	0.607107	0.466674
11	6	0	0.467917	1.31592	0.355581	0	0.0307955	1.31597	0.0234015
11	7	0	0.662285	0.816538	0.811089	0	0.279735	0.530344	0.52746
11	8	0	0.33452	1.04179	0.3211	0	0.108589	0.878885	0.123553
11	9	0	-0.0555316	1.13311	-0.049008	0	-0.11718	1.05492	-0.111079
12	0	0	0.272842	1.02133	0.267143	0	0.440654	1.02133	0.431451
12	1	0	0.770511	0.957523	0.804693	0	0.540114	0.702292	0.769074
12	2	0	0.0296493	0.93029	0.031871	0	-0.0169428	0.707704	-0.0239406
12	3	0	0.465411	0.928069	0.501484	0	0.134054	0.87713	0.152833
12	4	0	0.0942064	0.940893	0.100125	0	0.184216	0.780694	0.235965
12	5	0	0.0551546	1.04613	0.0527226	0	-0.100955	0.624034	-0.161778
12	6	0	-0.198252	0.649238	-0.305361	0	0.229113	0.691001	0.331567
12	7	0	0.839761	1.04089	0.806772	0	0.806825	1.36497	0.591094
12	8	0	0.237189	1.20801	0.196347	0	0.0869823	0.736661	0.118076
12	9	0	-0.0844032	0.852479	-0.0990091	0	-0.0723945	0.474702	-0.152505
13	0	0	0.268907	1.11237	0.241742	0	0.306231	1.11237	0.275295
13	1	0	0.166997	0.940763	0.177512	0	0.0174218	0.941787	0.0184987
13	2	0	0.380074	0.955651	0.397713	0	0.268046	1.03181	0.259783
13	3	0	0.465649	0.960391	0.484854	0	0.275429	1.1796	0.233495
13	4	0	0.418772	1.24007	0.3377	0	0.133359	1.633	0.0816649
13	5	0	0.337405	1.30325	0.258895	0	0.277467	1.05725	0.262442
13	6	0	-0.351235	1.19088	-0.294937	0	-0.23831	2.34098	-0.101799
13	7	0	0.250755	1.18638	0.211362	0	0.305217	0.557491	0.547483
13	8	0	0.605314	0.896124	0.67548	0	0.486624	0.587679	0.828044
13	9	0	-0.310255	0.919431	-0.337442	0	-0.32394	1.07143	-0.302344
14	0	0	0.344253	0.747519	0.460527	0	0.384708	0.747519	0.514646
14	1	0	0.461423	0.820099	0.562643	0	0.178456	0.975417	0.182953
14	2	0	0.53976	0.939967	0.574233	0	0.470169	0.921364	0.510297
14	3	0	0.0215092	0.957315	0.0224682	0	-0.00958789	0.817917	-0.0117223
14	4	0	0.273512	1.02528	0.266769	0	0.115835	1.04326	0.111031
14	5	0	0.165578	1.04191	0.158918	0	-0.194382	1.39052	-0.139791
14	6	0	-0.307039	1.29289	-0.237483	0	-0.239671	0.624773	-0.383613
14	7	0	-0.0307199	0.855689	-0.0359008	0	-0.330815	0.712064	-0.464586
14	8	0	0.168054	0.932504	0.180218	0	0.261451	0.720193	0.363028
14	9	0	0.191555	0.798843	0.239791	0	0.183545	1.0208	0.179804
15	0	0	0.0665028	0.941408	0.0706418	0	0.0861105	0.941408	0.0914699
15	1	0	0.612165	1.01818	0.601234	0	0.13587	1.10829	0.122594
15	2	0	0.305637	1.16534	0.262273	0	0.587412	1.25256	0.468969
15	3	0	0.485832	0.945441	0.513869	0	0.135007	0.693335	0.194721
15	4	0	0.635825	1.03364	0.615134	0	0.411708	0.748973	0.549696
15	5	0	0.127286	0.963497	0.132109	0	-0.144683	0.669099	-0.216235
15	6	0	0.130035	0.799288	0.162689	0	0.279783	0.552128	0.506736
15	7	0	0.689698	0.862901	0.799279	0	0.469448	0.790892	0.593568
15	8	0	0.439877	0.825544	0.532832	0	0.0531962	0.910459	0.058428
15	9	0	0.104779	0.967055	0.108349	0	0.582872	1.16813	0.498977
16	0	0	0.0650271	0.941677	0.0690546	0	0.127543	0.941677	0.135443
16	1	0	0.557302	1.01904	0.546887	0	0.492647	1.16058	0.424483
16	2	0	0.010366	1.11249	0.00931776	0	-0.014311	1.4933	-0.00958348
16	3	0	0.403123	1.14247	0.352853	0	0.201299	1.04958	0.19179
16	4	0	-0.237823	0.997745	-0.238361	0	-0.168822	0.944663	-0.178711
16	5	0	0.0613934	0.976754	0.0628546	0	-0.0633571	0.644114	-0.0983632
16	6	0	0.460958	0.640022	0.720223	0	0.0424716	0.519346	0.0817791
