RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
7	3	0.351538	0.351538	1.62073	0.216901	0.344319	0.344319	1.17058	0.294144
7	4	0.115285	0.115285	0.5968	0.193172	-0.0670063	-0.0670063	0.534589	-0.125342
7	5	-0.0337846	-0.0337846	0.367713	-0.0918775	0.00996951	0.00996951	0.279576	0.0356593
7	6	0.0741621	0.0741621	0.228843	0.324074	0.191069	0.191069	0.243325	0.785242
7	7	0.190494	0.190494	0.202587	0.940306	0.0718872	0.0718872	0.113195	0.635076
7	8	0.00249647	0.00249647	0.0528639	0.0472245	-0.0137613	-0.0137613	0.0353336	-0.389469
8	0	3.20894	3.20894	7.53547	0.425845	4.61171	4.61171	7.53547	0.612
8	1	1.53526	1.53526	8.65685	0.177347	0.429418	0.429418	3.33797	0.128647
8	2	0.074249	0.074249	1.89993	0.0390799	-0.0390876	-0.0390876	0.796745	-0.0490591
8	3	0.387587	0.387587	0.820319	0.472483	0.246407	0.246407	0.580062	0.424794
8	4	0.103278	0.103278	0.343628	0.300552	0.124139	0.124139	0.325056	0.3819
8	5	0.0679322	0.0679322	0.201759	0.3367	0.0116018	0.0116018	0.0983306	0.117988
8	6	0.0514621	0.0514621	0.0904276	0.569098	0.10562	0.10562	0.0861609	1.22585
8	7	0.0444655	0.0444655	0.0631699	0.703902	0.0150861	0.0150861	0.0457112	0.33003
8	8	0.0272395	0.0272395	0.0199676	1.36418	0.00339954	0.00339954	0.0114451	0.297029
9	0	4.01054	4.01054	11.3779	0.352486	6.34265	6.34265	11.3779	0.557454
9	1	2.74485	2.74485	14.9794	0.183241	0.724848	0.724848	3.59899	0.201403
9	2	0.39762	0.39762	1.80114	0.22076	0.102984	0.102984	0.665608	0.154722
9	3	0.0458902	0.0458902	0.461753	0.0993826	0.0725876	0.0725876	0.442721	0.163958
9	4	0.0726152	0.0726152	0.341831	0.21243	0.0896845	0.0896845	0.238914	0.375383
9	5	0.0946559	0.0946559	0.185431	0.510463	0.0427512	0.0427512	0.0603435	0.708464
9	6	0.0208564	0.0208564	0.0487073	0.428198	-0.0310978	-0.0310978	0.0423477	-0.734345
9	7	-0.0421871	-0.0421871	0.0255709	-1.64981	-0.0231082	-0.0231082	0.0384	-0.601776
9	8	-0.0179683	-0.0179683	0.0223418	-0.804249	-0.00985824	-0.00985824	0.0194316	-0.507329
10	0	-0.685199	-0.685199	9.41603	-0.0727694	0.272705	0.272705	9.41603	0.0289617
10	1	2.1412	2.1412	6.0089	0.356338	1.9458	1.9458	5.18274	0.375439
10	2	1.02297	1.02297	3.72223	0.274828	0.829481	0.829481	3.49964	0.237019
10	3	0.550332	0.550332	2.13813	0.257389	0.171234	0.171234	1.0546	0.162369
10	4	0.187737	0.187737	0.506599	0.370583	0.195475	0.195475	0.284836	0.686273
10	5	0.212937	0.212937	0.183875	1.15805	-0.055952	-0.055952	0.145108	-0.385589
10	6	-0.0499567	-0.0499567	0.102222	-0.488706	0.0244244	0.0244244	0.0709969	0.344021
10	7	0.00175736	0.00175736	0.0416161	0.0422278	0.0222874	0.0222874	0.0279976	0.796044
10	8	0.0215734	0.0215734	0.0128268	1.6819	-0.00466104	-0.00466104	0.019609	-0.237698
11	0	3.7002	3.7002	10.4988	0.35244	5.44869	5.44869	10.4988	0.518982
11	1	2.00471	2.00471	11.1535	0.179738	0.372466	0.372466	1.62536	0.229159
11	2	0.133569	0.133569	0.654391	0.204111	5.74036e-06	5.74036e-06	0.166183	3.45425e-05
11	3	0.01401	0.01401	0.133588	0.104874	0.0131563	0.0131563	0.083398	0.157753
11	4	-0.00879131	-0.00879131	0.0457756	-0.192052	0.0204181	0.0204181	0.0329373	0.619907
11	5	0.00870848	0.00870848	0.0203054	0.428874	0.00327361	0.00327361	0.021466	0.152502
11	6	0.0182575	0.0182575	0.0184764	0.988154	0.0333613	0.0333613	0.00979038	3.40756
11	7	0.0198269	0.0198269	0.00619698	3.19944	0.00235703	0.00235703	0.00174149	1.35345
11	8	-0.00202257	-0.00202257	0.000929904	-2.17503	-0.0061902	-0.0061902	0.000876438	-7.06291
12	0	3.67162	3.67162	12.1129	0.303116	5.60874	5.60874	12.1129	0.463038
12	1	2.50009	2.50009	13.0173	0.192059	0.906215	0.906215	4.27005	0.212226
12	2	0.44272	0.44272	2.84468	0.15563	0.361102	0.361102	2.1203	0.170307
12	3	0.156144	0.156144	1.62762	0.0959345	0.0953009	0.0953009	1.03011	0.092515
12	4	0.259992	0.259992	0.740445	0.351129	0.077167	0.077167	0.768737	0.100382
12	5	-0.00550454	-0.00550454	0.626416	-0.00878735	0.00191842	0.00191842	0.583319	0.0032888
12	6	0.000748503	0.000748503	0.541196	0.00138306	0.00388564	0.00388564	0.361687	0.0107431
12	7	0.154556	0.154556	0.303109	0.509902	0.143518	0.143518	0.264081	0.543462
12	8	0.0369368	0.0369368	0.186113	0.198464	0.0159562	0.0159562	0.139721	0.114201
13	0	-0.70604	-0.70604	10.974	-0.0643374	0.11685	0.11685	10.974	0.0106479
13	1	0.462661	0.462661	7.40405	0.0624876	0.155296	0.155296	8.33083	0.0186411
13	2	0.661663	0.661663	3.89628	0.169819	0.167294	0.167294	2.61337	0.0640146
13	3	0.190854	0.190854	1.59043	0.120001	0.498272	0.498272	1.08079	0.461027
13	4	0.432003	0.432003	0.499222	0.865353	0.281882	0.281882	0.617049	0.456823
13	5	0.201803	0.201803	0.299626	0.673516	-0.00543866	-0.00543866	0.177232	-0.0306866
13	6	-0.0849313	-0.0849313	0.106286	-0.799081	-0.126688	-0.126688	0.123229	-1.02807
13	7	-0.0831964	-0.0831964	0.0297424	-2.79723	0.0219785	0.0219785	0.0127739	1.72057
13	8	0.0253938	0.0253938	0.005022	5.05652	0.000380766	0.000380766	0.0018741	0.203173
14	0	4.06286	4.06286	12.4336	0.326766	6.15956	6.15956	12.4336	0.495398
14	1	3.17289	3.17289	15.2796	0.207655	1.88935	1.88935	6.04823	0.31238
14	2	1.11004	1.11004	3.67831	0.301779	0.459725	0.459725	1.00073	0.45939
14	3	0.338278	0.338278	0.759738	0.445256	0.294149	0.294149	0.738382	0.398369
14	4	0.124181	0.124181	0.479091	0.259201	0.0238685	0.0238685	0.28476	0.0838198
14	5	0.0241162	0.0241162	0.218208	0.110519	0.00126246	0.00126246	0.212064	0.00595319
14	6	0.014332	0.014332	0.200786	0.0713794	0.0414	0.0414	0.206514	0.200471
14	7	0.0271337	0.0271337	0.1763	0.153907	0.0674261	0.0674261	0.124139	0.54315
14	8	0.0301436	0.0301436	0.0994664	0.303053	0.0151179	0.0151179	0.100926	0.149793
15	0	1.45305	1.45305	7.02569	0.206819	2.47	2.47	7.02569	0.351567
15	1	1.0024	1.0024	4.31322	0.232401	0.220587	0.220587	0.904381	0.243909
15	2	-0.0367763	-0.0367763	0.652615	-0.0563522	-0.149863	-0.149863	0.671397	-0.223211
15	3	0.289528	0.289528	0.555967	0.520765	0.267329	0.267329	0.246028	1.08658
15	4	0.100821	0.100821	0.114535	0.880261	0.0461487	0.0461487	0.0561304	0.82217
15	5	0.0661626	0.0661626	0.030166	2.19328	0.0384642	0.0384642	0.0353518	1.08804
15	6	0.0857426	0.0857426	0.0247143	3.46935	0.0357175	0.0357175	0.0297045	1.20243
15	7	-0.0328627	-0.0328627	0.0122073	-2.69205	0.0176652	0.0176652	0.00913448	1.9339
15	8	0.0295149	0.0295149	0.0053782	5.48787	0.0158113	0.0158113	0.00622256	2.54096
16	0	-0.773604	-0.773604	11.8308	-0.0653893	0.170494	0.170494	11.8308	0.0144111
16	1	2.56657	2.56657	8.28182	0.309904	1.76538	1.76538	6.57092	0.268666
16	2	2.19381	2.19381	4.93994	0.444096	2.72755	2.72755	5.20921	0.523601
16	3	1.17019	1.17019	3.78497	0.309169	0.55678	0.55678	1.58971	0.35024
16	4	0.0449681	0.0449681	0.675211	0.0665986	0.0541691	0.0541691	0.444512	0.121862
16	5	0.0823453	0.0823453	0.364603	0.225849	0.0780998	0.0780998	0.297378	0.262628
16	6	0.0479213	0.0479213	0.275492	0.173948	-0.0621176	-0.0621176	0.18904	-0.328596
16	7	-0.0331377	-0.0331377	0.149297	-0.221958	0.0287342	0.0287342	0.150775	0.190576
16	8	0.0220838	0.0220838	0.0785665	0.281084	-0.0144679	-0.0144679	0.0738337	-0.195953
17	0	3.97653	3.97653	10.4938	0.378941	5.37363	5.37363	10.4938	0.512077
17	1	2.91812	2.91812	13.8742	0.210327	1.81508	1.81508	7.90042	0.229744
17	2	0.568171	0.568171	3.90055	0.145664	0.399426	0.399426	1.62305	0.246096
17	3	0.0927458	0.0927458	1.28893	0.0719554	0.0987648	0.0987648	0.823377	0.119951
17	4	0.136969	0.136969	0.591819	0.231437	0.0269551	0.0269551	0.39259	0.0686597
17	5	0.0705855	0.0705855	0.340099	0.207544	-0.0321213	-0.0321213	0.370764	-0.0866356
17	6	-0.0983406	-0.0983406	0.332572	-0.295697	0.0852558	0.0852558	0.438251	0.194536
17	7	0.119776	0.119776	0.297038	0.403234	0.0676903	0.0676903	0.152247	0.444608
17	8	0.055144	0.055144	0.10711	0.514835	-0.038247	-0.038247	0.0779728	-0.490518
18	0	1.81831	1.81831	9.47435	0.191919	2.86974	2.86974	9.47435	0.302896
18	1	1.80131	1.80131	6.46952	0.278431	1.05064	1.05064	3.13328	0.335318
18	2	0.439995	0.439995	1.4132	0.311348	0.0115408	0.0115408	1.04706	0.0110221
