ID Year Sex Age Mass BL BMI RelativeJulian Phi Rho Fitness StMass Mother A animal M2006 M2007 M2008 M2009 M2010 M2011 M2012 M2013 M2014 M2015 M2016 A2006 A2007 A2008 A2009 A2010 A2011 A2012 A2013 A2014 A2015 A2016 A1 A2 BL1 BL2 BMI1 BMI2 BMIPhi1 BMIPhi2 BMIRho1 BMIRho2 RJst RJ2st Ast BLst BMIst FitnessYear OS PhiZ RhoZ FitnessZ
CN06-015 2006 Male A 43.4181508703283 NA 378.801160287142 59.6666666666667 0 5 5 1.46544870404475 NA 43.4181508703283 CN06-015 43.4181508703283 NA NA NA NA NA NA NA NA NA NA 43.4181508703283 NA NA NA NA NA NA NA NA NA NA 43.4181508703283 NA NA NA 378.801160287142 NA NA 378.801160287142 378.801160287142 NA -0.685145570919879 -0.801981487313665 1.32705879103044 NA 1.64156791882882 3.09121621621622 39.3198423187307 0 0 0
CN06-017 2006 Male A 39.6063308893439 NA 353.296231625819 46.8 0 4 4 1.01353614909366 NA 39.6063308893439 CN06-017 39.6063308893439 NA NA NA NA NA NA NA NA NA NA 39.6063308893439 NA NA NA NA NA NA NA NA NA NA 39.6063308893439 NA NA NA 353.296231625819 NA NA 353.296231625819 353.296231625819 NA -1.08621553908657 -1.06769736271311 0.256985966365348 NA 1.17766548697703 2.47297297297297 37.0695731942245 0 0 0
CN06-018 2006 Male A 36.9808220121884 NA 368.365185340947 60.75 0 5 5 0.702267403286911 NA 36.9808220121884 CN06-018 36.9808220121884 NA NA NA NA NA NA NA NA NA NA 36.9808220121884 NA NA NA NA NA NA NA NA NA NA 36.9808220121884 NA NA NA 368.365185340947 NA NA 368.365185340947 368.365185340947 NA -0.651376726449885 -0.776677643240649 -0.480059779335247 NA 1.45175071837432 3.09121621621622 36.764357047857 0 0 0
CN06-021 2006 Female A 39.5971407973539 NA 466.686384120377 63.8333333333333 0 4 4 1.01244661234425 NA 39.5971407973539 CN06-021 39.5971407973539 NA NA NA NA NA NA NA NA NA NA 39.5971407973539 NA NA NA NA NA NA NA NA NA NA 39.5971407973539 NA NA NA 466.686384120377 NA NA 466.686384120377 466.686384120377 NA -0.555265399881441 -0.702167015883775 0.254406078609972 NA 3.24008911453416 2.47297297297297 37.5142570558309 0 0 0
CN06-023 2006 Female A 36.092106533466 NA 316.562005403231 81.75 0 3 3 0.596905218131909 CN06-013 36.092106533466 CN06-023 36.092106533466 NA NA NA NA NA NA NA NA NA NA 36.092106533466 NA NA NA NA NA NA NA NA NA NA 36.092106533466 NA NA NA 316.562005403231 NA NA 316.562005403231 316.562005403231 NA 0.00321933558384163 -0.196218101694522 -0.729544352946841 NA 0.509516318510833 1.85472972972973 42.4016819920222 0 0 0
CN06-024 2006 Female A 36.460334826868 NA 321.385364681758 52.5 0 1 1 0.640560739564378 NA 36.460334826868 CN06-024 36.460334826868 NA NA NA NA NA NA NA NA NA NA 36.460334826868 NA NA NA NA NA NA NA NA NA NA 36.460334826868 NA NA NA 321.385364681758 NA NA 321.385364681758 321.385364681758 NA -0.908539465105992 -0.957907586569243 -0.626173498077529 NA 0.59724713041453 0.618243243243243 38.9317647775645 0 0 0
CN06-025 2006 Female A 40.8591011336081 NA 370.376846120518 87.7142857142857 1 6 8 1.16205906063628 NA 40.8591011336081 CN06-025 40.8591011336081 NA NA NA NA NA NA NA NA NA NA 40.8591011336081 NA NA NA NA NA NA NA NA NA NA 40.8591011336081 NA NA NA 370.376846120518 NA NA 370.376846120518 370.376846120518 NA 0.189133523270291 -0.000164682596490406 0.608669781609408 NA 1.48834028661409 4.94594594594595 37.9838665428743 1 4 6
CN06-025 2007 Female A 36.3547906347308 0.124 293.319966491066 51.25 0 4 4 0.62804788592309 NA 36.3547906347308 CN06-025 NA 36.3547906347308 NA NA NA NA NA NA NA NA NA NA 36.3547906347308 NA NA NA NA NA NA NA NA NA 36.3547906347308 NA 0.124 NA 293.319966491066 NA 293.319966491066 NA 293.319966491066 NA -0.947503516417523 -0.983063258012606 -0.655802382015049 1.54913897976089 0.0867729924768508 2.57333333333333 38.1700803031435 0 0 0
CN06-027 2006 Male A 41.3677068405352 NA 368.988626013262 88.9090909090909 1 10 12 1.22235710871482 NA 41.3677068405352 CN06-027 41.3677068405352 NA NA NA NA NA NA NA NA NA NA 41.3677068405352 NA NA NA NA NA NA NA NA NA NA 41.3677068405352 NA NA NA 368.988626013262 NA NA 368.988626013262 368.988626013262 NA 0.22637708400443 0.0407692133049271 0.751448073387968 NA 1.46309031660817 7.41891891891892 38.118359114221 1 5 7
CN06-027 2007 Male A 44.6148994868733 0.118625 376.183994971381 44.75 0 5 5 1.60732993863479 NA 44.6148994868733 CN06-027 NA 44.6148994868733 NA NA NA NA NA NA NA NA NA NA 44.6148994868733 NA NA NA NA NA NA NA NA NA 44.6148994868733 NA 0.118625 NA 376.183994971381 NA 376.183994971381 NA 376.183994971381 NA -1.15011658323749 -1.10410143810443 1.66301593982256 1.08316696690738 1.59396498801252 3.21666666666667 38.2538175960438 0 0 0
