RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
89	3	0.0559145	0.0164759	0.859231	0.0191751	-0.0254127	0.0145771	0.496297	0.0293718
89	4	-0.0329404	-0.00344977	0.800179	-0.00431125	-0.0709596	-0.214394	0.876981	-0.244468
89	5	-0.0236996	-0.280966	0.928792	-0.302507	-0.0437158	0.106938	0.823169	0.129911
89	6	-0.0474677	0.290879	0.728786	0.399128	-0.0837394	-0.162248	0.347072	-0.467476
89	7	-0.0125996	-0.463816	0.854867	-0.542559	0.143501	0.0316021	0.542874	0.0582126
89	8	0.111081	0.172934	0.676358	0.255684	0.0715806	-0.0833079	1.07434	-0.0775435
89	9	0.0211041	0.162687	0.948944	0.17144	-0.116157	-0.326562	1.12271	-0.29087
90	0	0.00344824	-0.12416	1.13351	-0.109536	0.0133308	-0.320306	1.13351	-0.282578
90	1	0.0356614	-0.254286	0.941439	-0.270103	0.0311661	-0.00707892	0.992948	-0.0071292
90	2	0.0125271	0.0934661	0.890939	0.104907	0.0288903	0.238805	0.892511	0.267565
90	3	0.0388822	-0.247113	0.830974	-0.297378	0.222883	-0.232953	0.635565	-0.366529
90	4	0.199814	0.228606	0.8202	0.27872	-0.123496	-0.181724	0.400234	-0.454043
90	5	-0.0948042	-0.137285	0.704821	-0.19478	0.172925	-0.0766746	0.826871	-0.0927287
90	6	0.130289	0.0300329	0.868922	0.0345634	0.0966717	-0.244237	0.278151	-0.878072
90	7	0.0423846	0.101403	0.841909	0.120444	-0.0274388	0.17039	0.459324	0.370959
90	8	0.067359	0.0394759	1.00301	0.0393574	-0.156496	0.0086026	0.968909	0.00887864
90	9	-0.183122	-0.475229	0.845711	-0.561928	-0.0199621	-0.151033	0.483385	-0.312449
91	0	-0.0311992	-0.334215	1.14379	-0.292199	-0.0034091	-0.264623	1.14379	-0.231356
91	1	-0.0857927	-0.110531	1.07801	-0.102533	-0.225892	-0.305339	1.16855	-0.261297
91	2	-0.102007	-0.0143575	0.840797	-0.017076	-0.0293484	0.0866573	0.654453	0.132412
