RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
7	0	-0.225128	-0.291269	9.7631	-0.0298337	1.3761	0.50466	9.7631	0.0516905
7	1	3.89531	4.24662	9.32676	0.455316	3.63366	3.46414	5.64398	0.613777
7	2	1.69854	1.64148	8.85083	0.185461	0.646157	0.149361	6.49335	0.0230022
7	3	-1.69399	-1.70568	7.75301	-0.220002	-1.40615	-1.83614	10.4752	-0.175285
7	4	1.06698	1.12289	10.615	0.105784	0.84862	0.891588	10.3104	0.0864743
7	5	1.32219	1.14661	9.08357	0.126229	0.573243	0.350127	7.7009	0.0454657
7	6	1.10032	1.2496	7.38817	0.169135	-0.381588	0.732465	7.97285	0.0918699
7	7	-0.205391	-0.240508	7.16193	-0.0335815	2.75708	2.29877	6.95379	0.330578
7	8	2.15519	2.25845	7.18792	0.314201	1.30764	1.45582	5.71046	0.254939
7	9	-1.28434	-1.23535	5.88516	-0.209909	-1.15989	-2.32652	6.08038	-0.382627
8	0	-0.554313	-0.273478	10.2159	-0.0267699	1.07275	0.576632	10.2159	0.0564447
8	1	6.25504	6.56269	11.6804	0.561856	6.18676	6.17496	11.981	0.515397
8	2	2.05612	2.00736	14.2281	0.141084	0.674843	0.355656	6.27721	0.0566584
8	3	1.9017	1.76354	6.07641	0.290227	2.05874	1.51104	8.15558	0.185277
8	4	3.04472	2.89784	9.10832	0.318153	2.51609	2.06889	12.1095	0.170849
8	5	1.1319	0.96274	11.4184	0.084315	0.0973375	-0.4894	19.9341	-0.0245508
8	6	2.99276	2.57827	14.8443	0.173687	2.495	2.74381	41.7632	0.0656992
8	7	2.27518	1.98667	17.1863	0.115596	4.4793	4.2752	41.1243	0.103958
8	8	2.17022	1.76327	10.8052	0.163186	1.9084	1.48954	5.01553	0.296985
8	9	2.01571	2.27932	8.68351	0.262489	1.65226	2.05785	9.2407	0.222694
9	0	3.09955	3.16529	11.3214	0.279586	5.13771	4.81748	11.3214	0.425522
9	1	3.26498	3.0795	13.635	0.225852	1.46671	1.1771	6.27417	0.187611
9	2	3.8398	4.10291	8.21098	0.499685	5.11131	5.28427	10.5498	0.50089
9	3	4.18288	4.28253	14.8347	0.288683	2.155	2.54155	10.5751	0.240333
9	4	-1.1526	-0.933101	9.78575	-0.0953531	-1.29665	-1.05734	11.5514	-0.0915342
9	5	-0.667835	-0.79067	10.2772	-0.0769344	-1.9259	-1.75191	13.7054	-0.127827
9	6	1.75867	1.58084	10.2679	0.153959	2.26352	2.8064	18.7713	0.149505
9	7	0.748531	0.576154	11.6612	0.0494079	2.08031	1.90833	21.4936	0.0887859
9	8	2.02856	2.15957	8.23276	0.262314	2.23421	2.4147	7.05858	0.342094
9	9	2.97743	2.95361	7.55768	0.390809	2.41699	2.45345	9.87633	0.248417
10	0	0.472869	0.51758	8.47431	0.0610764	2.1418	1.54888	8.47431	0.182773
10	1	3.79782	3.72116	8.6141	0.431985	2.83162	2.61968	8.52341	0.307351
10	2	2.70404	2.77429	9.76351	0.284149	3.28219	3.16282	8.92228	0.354486
10	3	3.34037	3.49004	11.1375	0.313359	1.99263	1.56892	12.285	0.127711
10	4	-0.541515	-0.614864	10.0689	-0.0610657	-1.66924	-2.07006	14.8375	-0.139516
10	5	0.862768	0.735457	12.4289	0.0591733	1.56997	0.875962	16.2768	0.0538165
10	6	-4.67458	-4.25634	16.1052	-0.264284	-2.61659	-3.12563	30.8005	-0.10148
10	7	0.784179	0.599736	32.2732	0.0185831	1.16689	0.455747	24.5456	0.0185673
10	8	4.50648	4.63263	13.2986	0.348353	3.74754	2.90664	10.502	0.276772
10	9	3.11411	2.86455	9.87647	0.290037	1.58558	1.46264	12.3443	0.118487
11	0	2.3064	2.50975	11.5889	0.216564	3.5633	3.54365	11.5889	0.305779
11	1	3.12975	2.92561	13.5583	0.215779	2.82234	1.93573	7.35178	0.263301
11	2	3.31353	3.30038	7.74429	0.426169	3.17039	3.13792	10.239	0.306467
11	3	2.58663	2.51459	10.821	0.232381	1.03123	0.882983	15.9214	0.0554587
11	4	2.20288	2.5309	11.4352	0.221325	2.61637	3.38484	18.4386	0.183573
11	5	1.5418	1.79063	15.9772	0.112074	0.144636	0.20395	31.3616	0.00650319
11	6	-12.6113	-12.9918	21.5548	-0.602735	-8.85758	-10.2565	72.0036	-0.142444
11	7	10.5946	10.3298	61.405	0.168224	9.60248	9.34796	47.4293	0.197092
11	8	3.90329	3.6588	19.1065	0.191494	4.27286	3.08882	6.6445	0.464869
11	9	0.693803	0.52705	10.0461	0.0524631	-1.97956	-2.29148	13.0055	-0.176194
12	0	2.54932	2.60327	10.2227	0.254655	4.38835	4.11583	10.2227	0.402615
12	1	5.75882	5.86063	14.8344	0.395071	4.74213	4.7712	11.954	0.399129
12	2	1.2589	1.24444	12.3462	0.100796	0.716937	0.282097	9.57392	0.0294651
12	3	1.12357	1.5704	7.99043	0.196536	0.546474	0.967473	12.6584	0.0764293
